단어,수
가진,12
각성하라,12
강제로,12
개표,12
개혁을,12
거리로,12
계시면,12
교수님,12
국정조사,12
굿,12
권력,12
기,12
김영호,12
김행,12
김혜경,12
깊은,12
까지,12
꼬옥,12
끝,12
끝이다,12
나가야,12
나가지,12
나오네요,12
나요,12
낙지,12
남은,12
내년에,12
널리,12
노,12
놈들은,12
높은,12
느낌,12
단결,12
단단히,12
단식하는데,12
달고,12
대의원,12
대통,12
대표님만이,12
되나요,12
마음도,12
막아주세요,12
만들지,12
만만세,12
말씀을,12
먼,12
명령이다,12
몇몇,12
모르고,12
무능,12
문제다,12
뭐든,12
뭔지,12
민심이,12
민주당에서,12
믿는다,12
바라보는,12
박지현,12
배,12
배신자들,12
법안,12
변함없이,12
봉투,12
뵙고,12
부산에서,12
부터,12
북한,12
불체포,12
비겁한,12
뽑아주세요,12
사기,12
살다,12
살아있는,12
서민들,12
선,12
선택을,12
소리를,12
소신,12
승,12
승리하는,12
시국에,12
시대의,12
시원합니다,12
시켜라,12
신뢰가,12
신중,12
심판할,12
싸우겠습니다,12
압승으로,12
압승을,12
애들,12
얘기,12
어,12
어리석은,12
어이가,12
어쩌다,12
얼마,12
없냐,12
에라,12
역사,12
영웅,12
예를,12
용산,12
우리나라를,12
우습게,12
원래,12
월급,12
위원님,12
윤석열은,12
윤석열의,12
응원해,12
의원도,12
의원들의,12
이걸,12
이규용,12
이명순,12
이유,12
이준석은,12
이준석이,12
입당,12
잘합니다,12
저들은,12
저들의,12
저희가,12
적이,12
정권의,12
정도면,12
정의가,12
젤,12
조금만,12
주셔요,12
죽기,12
죽어도,12
지키셔야,12
진실한,12
집회,12
청래,12
청렴한,12
쳐내야,12
촛불,12
총리,12
총선은,12
출마를,12
출신,12
칼을,12
테니,12
투표로,12
하,12
하려고,12
하셨어요,12
하십시요,12
한마음,12
했습니다,12
현장,12
희망이다,12
♡,11
가셔서,11
간병비,11
